Municipality,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Agdangan,9834,1561,7496,4754,6557,17938,9962,3179,8066,9581
Alabat,1172,262,5320,2481,3751,9404,3843,1237,75,2967
Atimonan,54142,13458,54530,43200,32370,40502,35349,22050,22111,17657
Buenavista,33990,3313,23536,14256,8439,10242,14024,5363,12716,14903
Burdeos,25634,16125,32002,41868,32609,14116,44243,33865,14320,16864
Calauag,45714,10408,54609,35394,41873,91453,39562,19467,30853,50495
Candelaria,55321,5732,5306,10257,3304,3893,4156,5300,3961,7260
Catanauan,45397,12926,50676,29129,16260,25032,31369,22290,24850,35075
Dolores,11097,156,2007,818,360,334,489,1280,453,4672
General Luna,25886,3789,18123,13921,2566,9714,11639,5479,7870,10513
General Nakar,59563,47100,121943,109846,74326,45609,79613,61157,41927,28030
Guinayangan,47026,3658,18651,12463,14398,42898,15793,9195,16157,16362
Gumaca,95818,7925,47274,39225,39532,38889,42412,22085,25603,15862
Hinunangan,0,0,0,0,0,0,0,0,0,0
Infanta,3210,1068,1082,2825,2392,1128,1846,4906,575,2265
Jomalig,4624,505,2202,2091,2032,5527,2575,2812,397,970
Lopez,87265,16696,74808,51144,30898,88273,49959,34230,64772,49999
Lucban,4771,1013,11315,23333,11366,4626,9708,6005,16445,7334
Lucena City,14450,3629,1667,3320,288,2361,2797,1978,2530,4890
Macalelon,15090,3820,18297,9304,1628,15242,4518,2977,10321,2206
Mauban,64451,9222,75453,78593,27176,31584,66408,69588,63811,27025
Mulanay,27612,4285,19474,95424,3820,23338,27094,28946,31014,7821
Padre Burgos,13780,1497,10665,9610,5068,17497,12803,5178,1813,6251
Pagbilao,74311,9732,51973,38081,22146,45425,23041,25215,19921,23237
Panukulan,60990,14775,59223,99238,62748,25565,168865,58629,43077,20882
Patnanungan,26323,6620,21306,13700,12006,14630,37340,7553,10163,9562
Perez,3928,1763,10000,6081,1666,4125,15263,1920,1110,1134
Pitogo,27263,1855,11424,7931,8971,40047,6006,1432,1851,4743
Plaridel,2344,184,7014,2405,2974,3409,5079,732,3858,1369
Polillo,33209,9431,45749,42488,26099,11869,37719,28799,22254,27071
Quezon,4054,1408,4624,5427,1849,18663,3937,2594,5115,2649
Real,21495,11618,49753,47057,21167,15179,47110,25172,32985,31244
Sampaloc,13002,4218,30844,27398,21144,18998,11622,19364,17081,13933
San Andres,4798,2198,13603,20238,4433,5862,21508,12932,4890,1978
San Antonio,21328,5539,14297,2476,2918,2224,854,2048,4432,5154
San Francisco,30461,3304,38808,84585,3420,36336,68574,21090,27016,7364
San Narciso,38310,8484,63834,56573,6283,10780,33551,16701,12732,18728
Sariaya,30341,4504,10747,6780,7153,8060,7445,5135,3873,13060
Tagkawayan,159239,54769,146252,119206,85375,109204,75014,35892,78612,78776
Tayabas City,104980,6076,54282,54594,20368,41407,31797,18729,25331,26699
Tiaong,25150,4294,7362,11897,1886,733,1607,7283,5353,2343
Unisan,28783,6174,22283,11292,14108,58830,14147,4861,9158,9015
